Code,Population,pop_density,percentelderly,Rainy_Season_Movement,pct_not_covered,final_score
MW210,1353616.387,3373.439934,0.013547717,-0.03,0.095527106,23
MW31220,34847.12886,3379.279369,0.017445041,-0.03,0.002148683,0
MW315,884444.9143,3743.064274,0.017235562,0,0.086824716,9
MW314,111948.7503,2792.157188,0.016950282,0.02,0.002457818,1
MW107,220711.4854,1572.601572,0.016893235,-0.02,0.037437782,1
MW31020,4472.555945,531.8772678,0.029931305,0.03,-0.003716551,1
MW31002,50429.88897,252.8232187,0.021809058,0.03,0.122576098,1
MW30420,1934.802158,526.4767778,0.027355623,-0.07,0.569673579,1.8
MW10120,20844.85995,2449.166955,0.019669729,-0.04,-0.015468554,0
MW20820,25081.89177,1321.142574,0.019238231,-0.03,0.039174148,0
MW20420,4154.731128,744.0421075,0.018360196,-0.11,0.006100535,4.6
MW10220,60963.42849,1313.074621,0.02280511,-0.03,0.037249051,0
MW20120,56791.39059,1532.210727,0.012838218,-0.11,0.020070435,0
MW20107,42143.01886,64.73651616,0.028893636,-0.22,0.804660733,0
MW30111,1593.923692,29.84372844,0.036955125,0,NA,0
MW31008,2116.493098,2.280001097,0.047266176,0,0.893165518,1
MW10620,1,762.0469612,0,0,NA,0
MW30213,12313.59091,28.4827821,0.042488002,0,NA,0
MW30222,33892.16862,937.3093453,0.019808334,-0.03,0.099221621,0
MW30721,11443.08038,1160.202816,0.034126984,0.02,0.00265725,0
MW30220,1113.560372,516.2542288,0.038862359,-0.09,NA,0
MW31006,38585.86983,94.73458422,0.041342019,0.01,0.416716383,1
MW30120,55157.40306,4699.846887,0.01715952,-0.03,0.00863725,0
MW20720,28231.06064,3546.170159,0.01513691,-0.04,0.046595903,0
MW30121,11960.52305,895.5839052,0.017920428,-0.02,0.030382485,0
MW30820,12203.55618,974.7249349,0.025098092,0.02,0.005869504,0
MW30805,126885.6487,344.9751333,0.048350159,-0.08,0.604478236,0
MW30620,22163.66259,1636.902703,0.015023006,-0.02,0.002580625,0.2
MW10520,28193.59338,2609.068423,0.021689148,0.01,-0.004620449,0.4
MW31320,2117.491452,1517.91502,0.03676229,-0.04,NA,0
MW10320,11540.23199,955.000992,0.041536891,-0.06,NA,0
MW20220,29045.4809,2223.662602,0.033932981,0.01,0.008376105,1
MW31120,24146.58287,1538.29285,0.036432722,0.02,0.007593199,0
MW20920,20454.11657,2235.178294,0.016006779,0.01,0.002197858,0
MW20320,8498.626276,1853.167526,0.01955755,-0.16,-0.026908042,0
MW30920,7470.055295,2783.180065,0.043319133,-0.14,NA,0
MW10420,17673.53922,1415.808637,0.020797925,-0.01,0.013635767,0.2
MW20520,37262.91597,2225.448876,0.019625432,-0.07,0.012648092,0
MW20402,174873.4604,238.7787806,0.038557824,-0.21,0.527086464,0.2
MW30204,29964.68673,262.3855021,0.043170045,-0.01,0.414394858,0.2
MW20905,21515.40131,237.4427655,0.049289582,-0.01,0.305200592,0
MW10406,2926.349074,27.949314,0.042354822,0,0.718961764,0
MW20805,28367.41561,408.3228823,0.05237128,-0.14,0.383110271,0
MW30207,86602.08433,262.6223525,0.036950752,-0.14,0.641357139,0
MW20802,87244.82939,360.696172,0.047666751,-0.19,0.56731422,0
MW20305,86265.61455,162.9217769,0.037253923,-0.26,0.605985978,1.4
MW20109,49378.49972,156.9025882,0.031412136,-0.19,0.858291112,0.2
MW20104,9199.474451,192.0678634,0.048403576,-0.14,0.26059778,0
MW20605,63179.79858,169.8559757,0.050160481,-0.15,0.75958294,4.6
MW30209,35797.09811,510.1118363,0.040984173,-0.09,0.31098124,0
MW30106,152293.3819,241.6971622,0.042271856,-0.04,0.514300942,0
MW20706,88692.0088,209.184693,0.029722535,-0.21,0.632457213,0
MW10307,12147.4793,154.5185944,0.050449205,-0.02,0.732253885,0.2
MW20908,160060.8532,216.9978284,0.044260673,-0.12,0.615430489,0
MW10504,23471.58337,145.487125,0.045708797,-0.08,0.058943575,0.2
MW30806,110963.9357,327.5378729,0.046452256,-0.1,0.387966536,0
MW10405,12845.34303,95.07462943,0.039326271,-0.06,0.752589942,0
MW20202,28689.58244,51.55962951,0.034324263,-0.13,0.532422765,1
MW20506,26131.62364,456.0492781,0.042766395,-0.08,0.137700425,0
MW20504,46073.41951,173.2891254,0.038392365,-0.07,0.78224594,0
MW20808,44044.33732,226.367566,0.043079345,-0.04,0.530961944,0
MW10503,97078.74475,99.98264056,0.044616482,-0.03,0.699830084,0.8
MW20403,129615.9415,292.8339987,0.039299905,-0.22,0.62897266,4.6
MW10508,59086.12468,61.25663089,0.030453022,-0.1,0.616957982,1.4
MW30706,68503.93201,454.1255569,0.052028779,-0.04,0.473934088,1.2
MW30802,95297.1442,720.3981147,0.036221142,-0.04,0.328031556,0
MW20106,39170.34024,107.1548281,0.029575948,-0.15,0.945248266,0
MW20103,56852.0085,199.5528507,0.036254713,-0.19,0.591187096,0
MW31109,11959.03687,181.3294043,0.043251089,-0.02,0.427472726,0
MW20904,118752.752,236.2444313,0.051459992,-0.08,0.685670785,0
MW10304,23722.39312,139.9303552,0.040340868,0,0.530130751,0.2
MW20702,133090.2397,283.2888602,0.037620861,-0.17,0.591733956,0
MW30703,61214.17984,467.4479576,0.052364245,-0.03,0.549121352,0.2
MW31106,66056.7314,207.7118536,0.04357811,-0.04,0.256645731,1.2
MW30305,188240.227,412.781264,0.04584403,-0.01,0.551701457,2
MW30105,116280.2692,148.4304539,0.041650058,-0.07,0.451818428,0
MW20704,116713.6275,203.4398189,0.032696038,-0.16,0.765812002,0
MW10311,2102.362734,25.12353741,0.041536892,-0.06,NA,0
MW20405,118457.0334,307.4897231,0.03579818,-0.08,0.589770706,13.8
MW10308,16564.68809,305.7851635,0.041536892,-0.14,0.118326196,0
MW30206,68486.76494,173.7876664,0.036891894,-0.08,0.518633943,0
MW20204,36242.98279,225.0977131,0.036954087,-0.11,0.839806711,1
MW30705,82409.19747,519.4861032,0.044628436,-0.01,0.429030516,4
MW20407,78561.85357,449.4719491,0.034024023,-0.2,0.762535415,4.6
MW30205,30122.43266,141.0331891,0.040444444,-0.08,0.381560668,0.2
MW20510,7393.146243,319.0827036,0.036887157,-0.11,NA,1
MW20609,77593.50562,425.5616437,0.039982915,-0.05,0.423428832,13.8
MW10403,16175.0506,120.8148204,0.036378133,-0.08,0.403444106,0
MW10202,24485.11887,95.04945136,0.035397163,-0.09,0.584130587,0
MW10404,21256.82915,84.71387528,0.035923649,-0.07,0.178171317,0
MW10407,30476.27673,70.7006125,0.034987827,-0.07,0.389808055,0.2
MW20206,35720.17519,147.5211253,0.038818017,-0.21,0.711914056,1
MW20508,40168.71759,231.9076126,0.041274635,-0.16,0.737740394,0.2
MW10205,42130.0895,165.709266,0.031779944,-0.1,0.232871733,0
MW30109,37972.50264,99.61672947,0.042076934,-0.03,0.268037906,0
MW30208,35668.86412,225.1211106,0.034067337,-0.17,0.849594687,0
MW20613,50564.00793,473.5699241,0.02975748,-0.08,0.347559937,13.8
MW20108,67366.2561,234.4070987,0.030585093,-0.23,0.704275905,0
MW20303,28838.76381,121.3058343,0.037927931,-0.18,0.507437741,1.8
MW10310,11007.0091,52.86392414,0.033466074,-0.06,0.867488765,0.6
MW20102,39647.34765,129.5457513,0.036331238,-0.18,0.736812338,0.4
MW30202,52182.19745,159.6122651,0.043794408,-0.05,0.58530627,0.2
MW30702,23217.67516,383.465327,0.049264775,-0.03,0.35267159,0.4
MW20611,73435.91209,1008.388769,0.022671063,-0.05,0.546939006,13.8
MW10305,12872.82739,27.06052573,0.037203122,-0.11,0.19529953,1
MW10313,1134.188416,44.99497823,0.041536892,-0.06,NA,0
MW30710,126405.4762,605.7412399,0.039697903,0.02,0.356618172,6
MW20601,175833.45,471.7233137,0.042558094,-0.09,0.489535252,4.6
MW20907,33121.27754,301.1381121,0.045731881,-0.06,0.41406023,0
MW30704,55182.59931,455.6440835,0.054604571,-0.06,0.531615523,1.2
MW31003,133729.5536,159.9203488,0.0390677,-0.08,0.592142649,1
MW30503,54548.75617,213.508095,0.045018251,-0.02,0.518311927,2.2
MW20302,41627.78762,170.526015,0.036999307,-0.19,0.616755417,1.4
MW30304,79783.48698,446.4735669,0.052341339,-0.01,0.60987981,0.6
MW10401,87018.34425,110.0393456,0.034890161,-0.07,0.6236356,0.2
MW30803,92019.9381,616.3466473,0.054585303,-0.06,0.175659131,0
MW30709,168982.1885,606.1771606,0.045239941,-0.02,0.332652143,1.8
MW31102,13151.08705,369.360681,0.052456624,-0.04,0.101033472,0
MW20607,138622.9816,344.1689218,0.043017178,-0.1,0.680268815,13.8
MW30102,153855.3728,172.6200336,0.041294626,-0.08,0.619699547,0
MW10505,193821.6726,110.3355879,0.04765404,-0.13,0.731024152,0.2
MW20603,333454.3034,213.924035,0.041005068,-0.11,0.39689473,4.6
MW30405,23022.41322,377.6952378,0.050920863,-0.04,0.327865775,2
MW20608,40030.47629,337.2407438,0.04077388,-0.26,0.555209579,13.8
MW30903,46923.20456,211.8065729,0.043319133,-0.14,NA,0
MW20404,117028.1731,223.3515529,0.044348583,-0.15,0.640452723,4.8
MW20110,89251.08379,153.9440837,0.034557657,-0.17,0.739334337,0
MW31301,34861.07762,122.1549828,0.035375792,-0.06,0.468513665,0.2
MW20401,116322.2876,322.1831345,0.042470768,-0.19,0.785096912,4.6
MW10302,23297.87996,109.1220262,0.040288257,-0.03,0.328366239,0.4
MW30104,103506.0869,184.6815847,0.047385764,-0.05,0.330711437,0
MW20615,173614.5553,330.1881026,0.038865239,-0.17,0.577580662,4.6
MW10301,52918.63185,30.99950315,0.037520036,-0.03,0.676852966,0.8
MW20807,137041.4072,197.6055243,0.038118831,-0.11,0.475570373,0
MW30403,104595.7659,502.5356783,0.055935904,-0.06,0.288305335,1.8
MW31204,179251.2618,240.4995134,0.046901776,-0.07,0.490553607,0
MW20602,206410.25,338.5833843,0.0412336,-0.2,0.491341008,4.6
MW20101,71351.49959,174.3239734,0.038804648,-0.12,0.637482375,0
MW20612,36369.02142,720.5638939,0.028248987,0,0.556553534,13.8
MW20610,83525.78922,416.6269582,0.049265253,-0.13,0.432540669,0
MW20304,133407.2835,253.9741423,0.039158317,-0.21,0.60069168,0.6
MW10105,27441.10852,62.6303419,0.039020129,-0.04,0.835842218,0
MW30601,61661.9392,157.5520644,0.039486594,-0.03,0.601738444,1.4
MW20201,109421.3435,180.4301834,0.024728433,-0.12,0.347715189,1
MW20105,57557.30879,218.7817014,0.03532508,-0.14,0.616842694,0
MW20113,75132.45074,223.2211691,0.031102674,-0.22,0.729948938,1.4
MW30501,105171.5563,493.5893759,0.036301594,0.02,0.372217762,5.8
MW20803,184662.9236,302.2004736,0.045784308,-0.13,0.637664114,0
MW30707,70462.1685,529.9262104,0.050707741,-0.01,0.396853452,0.2
MW20502,79268.25666,177.2978133,0.036961825,-0.1,0.51013517,0.2
MW20301,22903.6835,127.1317989,0.042115869,-0.19,0.568370907,1
MW20806,100114.5045,173.3074324,0.038553627,-0.1,0.673490607,0
MW30107,57725.91207,131.4004185,0.041842475,-0.07,0.524941409,0
MW10408,19534.81318,172.8851626,0.039598475,-0.09,0.336064096,0
MW31005,40760.76933,252.7266767,0.035819446,0.01,0.298471914,1
MW30203,174476.9205,187.2528048,0.043290753,-0.09,0.398313729,0
MW20507,114194.4234,234.418561,0.038819176,-0.14,0.704477935,1
MW20606,142407.8876,249.7634703,0.034987477,-0.21,0.713016179,0
MW10201,77158.2373,234.691868,0.035856371,-0.15,0.605526187,0
MW20509,10710.41132,59.27079969,0.03378206,-0.11,0.496389065,0.2
MW30506,85350.42568,249.418977,0.041904088,-0.01,0.405289266,6.6
MW30504,47367.23431,102.6224398,0.042243104,0.01,0.542885127,3
MW30301,94131.61222,268.9413162,0.041078225,-0.05,0.383551688,0.6
MW20903,1,NA,NA,0.01,0.448605416,0
MW10203,99692.63172,61.83623891,0.041105362,-0.08,0.397282033,0
MW30402,74443.66329,662.5577466,0.044744661,-0.01,0.242138427,5.4
MW30502,35948.44414,269.37157,0.04496297,0.03,0.427794094,2
MW10501,176152.387,153.3373262,0.048050616,-0.06,0.754751425,0.4
MW30801,194761.2897,470.2220954,0.045969274,0.02,0.215572253,0
MW10507,94895.8094,131.811818,0.044419205,-0.17,0.640101464,0.4
MW30507,26232.61879,368.3890911,0.042679471,0.02,0.627130214,5.4
MW20501,60692.0764,341.3637005,0.033987431,-0.07,0.271821749,0
MW30108,83909.96427,116.3943459,0.041467073,-0.06,0.463795467,0
MW30505,19610.98127,330.0289669,0.051867013,-0.06,0.659010418,2
MW31007,73293.12488,156.8868102,0.046301277,0.02,0.281771032,1
MW30307,74257.98758,254.9324118,0.038544704,0.02,0.157300826,0.6
MW31107,20123.42873,139.8081698,0.053973348,0.02,0.495703467,0
MW20203,68407.08616,64.31830706,0.03731188,-0.04,0.615445205,1
MW10303,6511.765104,161.8835327,0.053709144,-0.02,0.64828346,0
MW20614,147418.1927,440.8069681,0.036935764,-0.08,0.709735639,13.8
MW10306,21637.19936,217.7043442,0.041536892,-0.06,NA,0
MW20909,36995.57046,145.8706582,0.037394554,-0.08,0.52469455,0
MW31004,41452.35073,285.2448406,0.036990977,-0.02,0.333728064,1
MW20604,139324.5799,403.0263003,0.050331229,-0.09,0.622659839,4.6
MW20705,133854.9108,143.5963432,0.030313423,-0.2,0.562936915,0
MW30901,314498.2746,372.7903894,0.043326964,-0.12,0.492910472,0.2
MW10601,1,609.4072826,0,0,NA,0
MW31302,40913.65183,72.69467202,0.037504569,-0.01,0.706508973,0.4
MW31104,77059.49695,224.6560517,0.048241933,-0.1,0.386905513,1.8
MW20701,58260.96807,213.8040715,0.033235786,-0.12,0.844987486,0
MW30306,161909.8964,242.3227686,0.047194757,0.01,0.383661211,2.4
MW30401,71774.06211,482.9627628,0.047358691,-0.04,0.21115516,5.6
MW20902,77152.94655,184.4506653,0.031399784,-0.03,0.422300546,0
MW10509,51806.49782,75.23398439,0.030493967,-0.17,0.503499528,0.2
MW30101,151066.059,205.8993102,0.036482521,-0.03,0.622856406,0
MW20406,98252.5124,223.4809651,0.042156616,-0.16,0.650659123,5
MW10502,216647.0976,109.3830329,0.041217531,-0.07,0.509725725,0.6
MW10101,113635.5806,117.8498928,0.038660735,-0.06,0.457269507,0
MW20205,109237.0454,171.9169246,0.035775214,-0.2,0.545446149,1
MW30302,155523.5271,354.8351285,0.041112654,-0.01,0.390647593,0.6
MW10402,8290.838594,50.98226927,0.046574696,-0.09,0.288813302,0
MW20114,27002.80999,142.6998646,0.030772616,-0.13,0.936524491,0
MW10102,34627.53652,52.50263672,0.046604909,-0.1,0.452491799,0
MW10103,29903.8643,39.97260333,0.039922432,-0.1,0.521476893,0
MW10506,102128.2131,70.37176004,0.038325355,-0.07,0.660329707,1
MW10510,46866.04704,175.0928292,0.043216562,-0.1,0.490924499,0.2
MW30902,64724.73741,229.9198515,0.043311302,-0.16,0.487879192,0
MW30406,45771.22505,483.0175393,0.054755294,-0.06,0.303543833,1.8
MW30708,66040.56258,366.8940526,0.042426712,-0.05,0.444207096,2.2
MW31101,33881.16269,179.6398984,0.047596425,-0.13,0.253882998,0
MW20505,51030.27139,236.3563037,0.04113401,-0.1,0.614175287,0
MW31001,205691.6028,188.1431179,0.042555258,-0.04,0.426705522,1
MW31108,15944.21714,270.2409685,0.054106569,-0.04,0.447880863,0
MW31304,26545.57247,88.40008282,0.038939625,-0.06,0.496037107,0
MW20906,66200.2576,267.0043503,0.048828923,-0.09,0.322024431,0
MW30404,55927.28261,424.1413818,0.056264341,-0.02,0.363273784,1.8
MW30701,48111.77897,398.9831238,0.051163228,-0.01,0.407197518,0.4
MW31201,217589.8511,157.8253403,0.049251038,-0.05,0.499806119,0.2
MW30602,65016.69693,221.9916653,0.037129381,-0.15,0.746517304,1.4
MW10104,47631.87715,65.53525756,0.037313841,-0.11,0.43707489,0
MW30804,55634.71022,497.3112801,0.058288331,-0.04,0.339927281,0
MW31103,3109.740136,39.8597759,0.038989925,-0.01,0.976060844,0
MW30210,66745.29216,192.3456649,0.041494305,-0.12,0.677126363,0
MW20503,27766.83731,280.9640818,0.042128245,-0.17,0.716921419,0
MW20801,189549.6335,216.4863849,0.03645396,-0.17,0.445976191,0
MW20901,67971.9724,99.20902531,0.044650699,-0.03,0.405871259,0
MW20111,114907.7256,154.3964775,0.029838534,-0.24,0.750022689,0
MW30508,82992.84979,327.7163303,0.043221077,0.02,0.27523305,7.6
MW31303,64344.93609,154.4885297,0.035229173,-0.04,0.489033014,2.2
MW20804,81038.06228,169.6435856,0.051817414,-0.11,0.414568877,0
MW31105,50418.68741,145.2485809,0.049635036,0.05,0.361152754,0.2
MW30711,45978.32427,414.2825862,0.046723906,-0.01,0.286914786,3.4
MW10312,52352.32087,107.3380741,0.039318425,-0.04,0.590153556,0.2
MW10204,73728.89482,207.3365996,0.035868419,-0.08,0.159243154,0
MW20112,102594.1025,113.3785575,0.02941153,-0.13,0.624792367,0.6
MW10409,1,114.0009039,0.036759106,-0.07,NA,0
MW20703,147574.5615,316.3869107,0.031435975,-0.14,0.632791678,0
MW30720,6994.63892,1822.469755,0.019252837,-0.07,-0.008224557,0
MW30303,2847.917475,23.97943397,0.031073901,-0.14,NA,0.2
MW30201,89424,254.8845105,0.042963858,-0.08,0.490135917,0
MW10309,16810.2188,32.46588577,0.041536892,-0.05,0.678253366,0.2
MW30103,149737.9982,125.0535525,0.036955125,-0.05,0.731998297,0
,,,,,,
,,,,,,
MW30111,#NAME?,,,,,
MW10620,,,,,,
MW30213,,,,,,
MW30220,,,,,,
MW31320,,,,,,
MW10320,,,,,,
MW30920,,,,,,
MW10311,,,,,,
MW20510,,,,,,
MW10313,,,,,,
MW30903,,,,,,
MW10306,,,,,,
MW10601,,,,,,
MW10409,,,,,,
MW30303,,,,,,
