UID,Lvl1,Lvl2,Lvl3,Lvl4,Start Date,Date_from_0
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,2020-04-02,0.0
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,2020-07-13,102.0
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,2020-05-03,31.0
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,2020-04-17,15.0
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,2020-04-30,28.0
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,2020-07-29,118.0
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,2020-05-06,34.0
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,2020-06-01,60.0
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,2020-07-08,97.0
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,2020-06-30,89.0
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,2020-06-04,63.0
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,2020-04-26,24.0
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,2020-09-03,154.0
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park,2020-07-20,109.0
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park,2020-08-04,124.0
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park,2020-05-06,34.0
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,,
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park,2020-07-06,95.0
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,2020-06-09,68.0
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,2020-06-30,89.0
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,2020-07-13,102.0
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa,2020-06-30,89.0
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,2020-05-09,37.0
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,2020-08-18,138.0
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,2020-08-04,124.0
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,2020-06-09,68.0
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve,2020-06-09,68.0
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,2020-06-23,82.0
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,2020-06-27,86.0
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,2020-07-22,111.0
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,2020-08-24,144.0
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,2020-05-10,38.0
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,2020-08-01,121.0
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,2020-05-19,47.0
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,2020-07-27,116.0
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,2020-07-13,102.0
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,2020-06-27,86.0
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,2020-07-03,92.0
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,2020-06-28,87.0
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,2020-06-14,73.0
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,2020-07-16,105.0
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,2020-07-26,115.0
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,2020-06-28,87.0
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,2020-09-02,153.0
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,2020-06-28,87.0
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,2020-06-08,67.0
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,2020-07-07,96.0
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,2020-07-08,97.0
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,2020-05-30,58.0
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,2020-07-06,95.0
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,2020-06-07,66.0
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,2020-07-20,109.0
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,2020-06-27,86.0
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,2020-07-16,105.0
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,2020-06-27,86.0
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,2020-06-30,89.0
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,2020-08-10,130.0
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,2020-06-08,67.0
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,2020-06-30,89.0
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,2020-06-04,63.0
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,2020-06-30,89.0
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,2020-05-29,57.0
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,2020-05-30,58.0
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,2020-06-08,67.0
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,2020-06-04,63.0
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,2020-06-09,68.0
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,2020-08-18,138.0
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,2020-07-08,97.0
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,2020-08-30,150.0
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,2020-07-12,101.0
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,2020-06-11,70.0
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,2020-06-28,87.0
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,2020-06-09,68.0
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,2020-05-06,34.0
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,2020-06-01,60.0
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,2020-07-06,95.0
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,2020-07-20,109.0
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,2020-07-26,115.0
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,2020-05-01,29.0
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,2020-07-26,115.0
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,2020-07-13,102.0
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,2020-04-11,9.0
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,2020-06-01,60.0
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,2020-05-30,58.0
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,2020-06-14,73.0
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,2020-07-07,96.0
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,2020-05-01,29.0
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,2020-06-13,72.0
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,2020-07-22,111.0
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,2020-07-12,101.0
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,2020-06-27,86.0
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,2020-06-08,67.0
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,2020-06-28,87.0
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,2020-06-23,82.0
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,2020-07-06,95.0
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,2020-09-02,153.0
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,2020-05-01,29.0
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,2020-07-27,116.0
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,2020-06-08,67.0
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,2020-05-29,57.0
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,2020-07-07,96.0
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,2020-06-14,73.0
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,2020-06-04,63.0
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,2020-05-01,29.0
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,2020-06-11,70.0
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,2020-07-26,115.0
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,2020-05-03,31.0
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,2020-05-30,58.0
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,2020-07-16,105.0
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,2020-06-04,63.0
113,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga,2020-06-04,63.0
114,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru,2020-06-01,60.0
115,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho,2020-06-28,87.0
116,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi,2020-05-16,44.0
117,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe,2020-06-27,86.0
118,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu,2020-06-09,68.0
119,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro,2020-06-01,60.0
120,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo,2020-08-30,150.0
121,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu,2020-05-01,29.0
122,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala,2020-07-06,95.0
123,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi,2020-06-27,86.0
124,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka,2020-05-30,58.0
125,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera,2020-05-03,31.0
126,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula,2020-05-01,29.0
127,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo,2020-06-20,79.0
128,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere,2020-05-30,58.0
129,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu,2020-07-08,97.0
130,Sub-Saharan Africa,Malawi,Neno,TA Dambe,2020-06-23,82.0
131,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole,2020-05-30,58.0
132,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri,2020-05-13,41.0
133,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi,2020-07-06,95.0
134,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula,2020-05-30,58.0
135,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli,2020-05-29,57.0
136,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto,2020-06-30,89.0
137,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere,2020-06-01,60.0
138,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo,2020-06-13,72.0
139,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo,2020-05-30,58.0
140,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma,2020-06-09,68.0
141,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba,2020-05-01,29.0
142,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu,2020-06-28,87.0
143,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo,2020-06-28,87.0
144,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme,2020-07-08,97.0
145,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku,2020-05-25,53.0
146,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda,2020-05-10,38.0
147,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba,2020-08-05,125.0
148,Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula,2020-06-08,67.0
149,Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni,2020-05-03,31.0
150,Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka,2020-06-28,87.0
151,Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi,2020-06-04,63.0
152,Sub-Saharan Africa,Malawi,Salima,TA Karonga,2020-06-28,87.0
153,Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula,2020-07-07,96.0
154,Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu,2020-06-01,60.0
155,Sub-Saharan Africa,Malawi,Mangochi,TA Katuli,2020-08-04,124.0
156,Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi,2020-07-26,115.0
157,Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga,2020-07-03,92.0
158,Sub-Saharan Africa,Malawi,Machinga,TA Kawinga,2020-08-04,124.0
159,Sub-Saharan Africa,Malawi,Salima,TA Khombedza,2020-06-28,87.0
160,Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni,2020-06-28,87.0
161,Sub-Saharan Africa,Malawi,Karonga,TA Kilupula,2020-06-23,82.0
162,Sub-Saharan Africa,Malawi,Salima,TA Kuluunda,2020-07-27,116.0
163,Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja,2020-06-01,60.0
164,Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe,2020-06-30,89.0
165,Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji,2020-05-16,44.0
166,Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine,2020-06-17,76.0
167,Sub-Saharan Africa,Malawi,Karonga,TA Kyungu,2020-05-25,53.0
168,Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe,2020-05-03,31.0
169,Sub-Saharan Africa,Malawi,Blantyre,TA Lundu,2020-06-01,60.0
170,Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa,2020-06-27,86.0
171,Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka,2020-05-11,39.0
172,Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo,2020-07-07,96.0
173,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,2020-04-04,2.0
174,Sub-Saharan Africa,Malawi,Salima,TA Maganga,2020-07-03,92.0
175,Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila,2020-08-04,124.0
176,Sub-Saharan Africa,Malawi,Blantyre,TA Makata,2020-05-03,31.0
177,Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira,2020-05-06,34.0
178,Sub-Saharan Africa,Malawi,Zomba,TA Malemia,2020-05-16,44.0
179,Sub-Saharan Africa,Malawi,Nsanje,TA Malemia,2020-07-03,92.0
180,Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi,2020-05-10,38.0
181,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malenga,2020-06-11,70.0
182,Sub-Saharan Africa,Malawi,Lilongwe,TA Malili,2020-05-01,29.0
183,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mankhambira,2020-07-26,115.0
184,Sub-Saharan Africa,Malawi,Ntcheu,TA Masasa,2020-07-29,118.0
185,Sub-Saharan Africa,Malawi,Chikwawa,TA Maseya,2020-06-04,63.0
186,Sub-Saharan Africa,Malawi,Lilongwe,TA Mazengera,2020-05-30,58.0
187,Sub-Saharan Africa,Malawi,Mchinji,TA Mkanda,2020-06-21,80.0
188,Sub-Saharan Africa,Malawi,Phalombe,TA Mkhumba,2020-06-14,73.0
189,Sub-Saharan Africa,Malawi,Likoma,Mkumpha,,
190,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,2020-06-21,80.0
191,Sub-Saharan Africa,Malawi,Nsanje,TA Mlolo,2020-05-25,53.0
192,Sub-Saharan Africa,Malawi,Mchinji,TA Mlonyeni,2020-07-20,109.0
193,Sub-Saharan Africa,Malawi,Zomba,TA Mlumbe,2020-05-16,44.0
194,Sub-Saharan Africa,Malawi,Chiradzulu,TA Mpama,2020-06-06,65.0
195,Sub-Saharan Africa,Malawi,Ntcheu,TA Mpando,2020-07-16,105.0
196,Sub-Saharan Africa,Malawi,Mzimba,TA Mpherembe,2020-06-27,86.0
197,Sub-Saharan Africa,Malawi,Mangochi,TA Mponda,2020-06-07,66.0
198,Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa,2020-05-30,58.0
199,Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo,2020-05-29,57.0
200,Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya,2020-06-09,68.0
201,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama,2020-06-08,67.0
202,Sub-Saharan Africa,Malawi,Zomba,TA Mwambo,2020-05-16,44.0
203,Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe,2020-07-26,115.0
204,Sub-Saharan Africa,Malawi,Kasungu,TA Mwase,2020-08-06,126.0
205,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku,2020-06-23,82.0
206,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya,2020-06-23,82.0
207,Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola,2020-06-27,86.0
208,Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku,2020-07-26,115.0
209,Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe,2020-05-22,50.0
210,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema,2020-06-01,60.0
211,Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela,2020-05-06,34.0
212,Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera,2020-08-30,150.0
213,Sub-Saharan Africa,Malawi,Salima,TA Ndindi,2020-06-30,89.0
214,Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu,2020-04-07,5.0
215,Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu,2020-08-01,121.0
216,Sub-Saharan Africa,Malawi,Neno,TA Chekucheku,2020-07-13,102.0
217,Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole,2020-06-17,76.0
218,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo,2020-06-01,60.0
219,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe,2020-06-04,63.0
220,Sub-Saharan Africa,Malawi,Balaka,TA Msamala,2020-06-14,73.0
221,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache,2020-06-23,82.0
222,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire,2020-06-23,82.0
223,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja,2020-06-30,89.0
224,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza,2020-08-01,121.0
225,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi,2020-08-04,124.0
226,Sub-Saharan Africa,Malawi,Salima,TA Pemba,2020-07-03,92.0
227,Sub-Saharan Africa,Malawi,Dedza,TA Pemba,2020-06-28,87.0
228,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala,2020-07-13,102.0
229,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe,2020-06-28,87.0
230,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,2020-06-01,60.0
231,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe,2020-06-14,73.0
232,Sub-Saharan Africa,Malawi,Dedza,TA Tambala,2020-06-28,87.0
233,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani,2020-06-04,63.0
234,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas,2020-06-01,60.0
235,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri,2020-06-27,86.0
236,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo,2020-07-22,111.0
237,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe,2020-07-07,96.0
238,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve,2020-07-26,115.0
239,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu,2020-07-27,116.0
240,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma,2020-06-04,63.0
241,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira,2020-06-14,73.0
242,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde,2020-07-06,95.0
243,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya,2020-06-27,86.0
244,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba,2020-07-06,95.0
