UID,ADM3_PCODE,Lvl1,Lvl2,Lvl3,Lvl4
1,MW210,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City
2,MW31220,Sub-Saharan Africa,Malawi,Balaka,Balaka Town
3,MW315,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City
4,MW314,Sub-Saharan Africa,Malawi,Zomba City,Zomba City
5,MW107,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City
6,MW31020,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma
7,MW31002,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu
8,MW30420,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma
9,MW10120,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma
10,MW20820,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma
11,MW20420,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma
12,MW10220,Sub-Saharan Africa,Malawi,Karonga,Karonga Town
13,MW20120,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma
14,MW20107,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba and Kasungu National Park
15,MW30111,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba and Lake Malawi National Park
16,MW31008,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela and Lengwe National Park
17,MW10620,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma
18,MW30213,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde and Liwonde National Park
19,MW30222,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town
20,MW30721,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town
21,MW30220,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma
22,MW31006,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi and Majete Game Reserve Chikwawa
23,MW30120,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town
24,MW20720,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma
25,MW30121,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban
26,MW30820,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma
27,MW30805,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda and Mulanje Mountain Reserve
28,MW31110,Sub-Saharan Africa,Malawi,Nsanje,Mwabvi Game Reserve
29,MW30620,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma
30,MW10520,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma
31,MW31320,Sub-Saharan Africa,Malawi,Neno,Neno Boma
32,MW10320,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma
33,MW20220,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma
34,MW20207,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Game Reserve
35,MW31120,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma
36,MW20920,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma
37,MW20320,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma
38,MW30920,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma
39,MW10420,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma
40,MW20520,Sub-Saharan Africa,Malawi,Salima,Salima Town
41,MW20402,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza
42,MW30204,Sub-Saharan Africa,Malawi,Machinga,TA Chamba
43,MW20905,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti
44,MW10406,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka
45,MW20805,Sub-Saharan Africa,Malawi,Dedza,TA Chauma
46,MW30207,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo
47,MW20802,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo
48,MW20305,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko
49,MW20109,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe
50,MW20104,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa
51,MW20605,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele
52,MW30209,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo
53,MW30106,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe
54,MW20706,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe
55,MW10307,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza
56,MW20908,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya
57,MW10504,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali
58,MW30806,Sub-Saharan Africa,Malawi,Mulanje,TA Juma
59,MW10405,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu
60,MW20202,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila
61,MW20506,Sub-Saharan Africa,Malawi,Salima,TA Kambalame
62,MW20504,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri
63,MW20808,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza
64,MW10503,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande
65,MW20403,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe
66,MW10508,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere
67,MW30706,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule
68,MW30802,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema
69,MW20106,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa
70,MW20103,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja
71,MW31109,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko
72,MW20904,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala
73,MW10304,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda
74,MW20702,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere
75,MW30703,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela
76,MW31106,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje
77,MW30305,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza
78,MW30105,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi
79,MW20704,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa
80,MW10311,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe
81,MW20405,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula
82,MW10308,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira
83,MW30206,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba
84,MW20204,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde
85,MW30705,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka
86,MW20407,Sub-Saharan Africa,Malawi,Dowa,TA Mponela
87,MW30205,Sub-Saharan Africa,Malawi,Machinga,TA Mposa
88,MW20510,Sub-Saharan Africa,Malawi,Salima,TA Msosa
89,MW20609,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema
90,MW10403,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga
91,MW10202,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko
92,MW10404,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni
93,MW10407,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira
94,MW20206,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo
95,MW20508,Sub-Saharan Africa,Malawi,Salima,TA Mwanza
96,MW10205,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe
97,MW30109,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi
98,MW30208,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe
99,MW20613,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa
100,MW20108,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa
101,MW20303,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo
102,MW10310,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga
103,MW20102,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba
104,MW30202,Sub-Saharan Africa,Malawi,Machinga,TA Sitola
105,MW30702,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta
106,MW20611,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango
107,MW10305,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma
108,MW10313,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo
109,MW30710,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe
110,MW20601,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza
111,MW20907,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira
112,MW30704,Sub-Saharan Africa,Malawi,Thyolo,TA Changata
113,MW31003,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga
114,MW30503,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru
115,MW20302,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho
116,MW30304,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi
117,MW10401,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe
118,MW30803,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu
119,MW30709,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro
120,MW31102,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo
121,MW20607,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu
122,MW30102,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala
123,MW10505,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi
124,MW20603,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka
125,MW30405,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera
126,MW20608,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula
127,MW30903,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo
128,MW20404,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere
129,MW20110,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu
130,MW31301,Sub-Saharan Africa,Malawi,Neno,TA Dambe
131,MW20401,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole
132,MW10302,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri
133,MW30104,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi
134,MW20615,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula
135,MW10301,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli
136,MW20807,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto
137,MW30403,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere
138,MW31204,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo
139,MW20602,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo
140,MW20101,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma
141,MW20612,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba
142,MW20610,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu
143,MW20304,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo
144,MW10105,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme
145,MW30601,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku
146,MW20201,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda
147,MW20105,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba
148,MW20113,Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula
149,MW30501,Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni
150,MW20803,Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka
151,MW30707,Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi
152,MW20502,Sub-Saharan Africa,Malawi,Salima,TA Karonga
153,MW20301,Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula
154,MW20806,Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu
155,MW30107,Sub-Saharan Africa,Malawi,Mangochi,TA Katuli
156,MW10408,Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi
157,MW31005,Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga
158,MW30203,Sub-Saharan Africa,Malawi,Machinga,TA Kawinga
159,MW20507,Sub-Saharan Africa,Malawi,Salima,TA Khombedza
160,MW20606,Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni
161,MW10201,Sub-Saharan Africa,Malawi,Karonga,TA Kilupula
162,MW20509,Sub-Saharan Africa,Malawi,Salima,TA Kuluunda
163,MW30506,Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja
164,MW30504,Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe
165,MW30301,Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji
166,MW20903,Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine
167,MW10203,Sub-Saharan Africa,Malawi,Karonga,TA Kyungu
168,MW30402,Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe
169,MW30502,Sub-Saharan Africa,Malawi,Blantyre,TA Lundu
170,MW10501,Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa
171,MW30801,Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka
172,MW10507,Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo
173,MW30507,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri
174,MW20501,Sub-Saharan Africa,Malawi,Salima,TA Maganga
175,MW30108,Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila
176,MW30505,Sub-Saharan Africa,Malawi,Blantyre,TA Makata
177,MW31007,Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira
178,MW30307,Sub-Saharan Africa,Malawi,Zomba,TA Malemia
179,MW31107,Sub-Saharan Africa,Malawi,Nsanje,TA Malemia
180,MW20203,Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi
181,MW10303,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malenga
182,MW20614,Sub-Saharan Africa,Malawi,Lilongwe,TA Malili
183,MW10306,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mankhambira
184,MW20909,Sub-Saharan Africa,Malawi,Ntcheu,TA Masasa
185,MW31004,Sub-Saharan Africa,Malawi,Chikwawa,TA Maseya
186,MW20604,Sub-Saharan Africa,Malawi,Lilongwe,TA Mazengera
187,MW20705,Sub-Saharan Africa,Malawi,Mchinji,TA Mkanda
188,MW30901,Sub-Saharan Africa,Malawi,Phalombe,TA Mkhumba
189,MW10601,Sub-Saharan Africa,Malawi,Likoma,Mkumpha
190,MW31302,Sub-Saharan Africa,Malawi,Neno,TA Mlauli
191,MW31104,Sub-Saharan Africa,Malawi,Nsanje,TA Mlolo
192,MW20701,Sub-Saharan Africa,Malawi,Mchinji,TA Mlonyeni
193,MW30306,Sub-Saharan Africa,Malawi,Zomba,TA Mlumbe
194,MW30401,Sub-Saharan Africa,Malawi,Chiradzulu,TA Mpama
195,MW20902,Sub-Saharan Africa,Malawi,Ntcheu,TA Mpando
196,MW10509,Sub-Saharan Africa,Malawi,Mzimba,TA Mpherembe
197,MW30101,Sub-Saharan Africa,Malawi,Mangochi,TA Mponda
198,MW20406,Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa
199,MW10502,Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo
200,MW10101,Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya
201,MW20205,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama
202,MW30302,Sub-Saharan Africa,Malawi,Zomba,TA Mwambo
203,MW10402,Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe
204,MW20114,Sub-Saharan Africa,Malawi,Kasungu,TA Mwase
205,MW10102,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku
206,MW10103,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya
207,MW10506,Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola
208,MW10510,Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku
209,MW30902,Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe
210,MW30406,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema
211,MW30708,Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela
212,MW31101,Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera
213,MW20505,Sub-Saharan Africa,Malawi,Salima,TA Ndindi
214,MW31001,Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu
215,MW31108,Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu
216,MW31304,Sub-Saharan Africa,Malawi,Neno,TA Chekucheku
217,MW20906,Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole
218,MW30404,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo
219,MW30701,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe
220,MW31201,Sub-Saharan Africa,Malawi,Balaka,TA Msamala
221,MW30602,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache
222,MW10104,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire
223,MW30804,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja
224,MW31103,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza
225,MW30210,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi
226,MW20503,Sub-Saharan Africa,Malawi,Salima,TA Pemba
227,MW20801,Sub-Saharan Africa,Malawi,Dedza,TA Pemba
228,MW20901,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala
229,MW20111,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe
230,MW30508,Sub-Saharan Africa,Malawi,Blantyre,TA Somba
231,MW31303,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe
232,MW20804,Sub-Saharan Africa,Malawi,Dedza,TA Tambala
233,MW31105,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani
234,MW30711,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas
235,MW10312,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri
236,MW10204,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo
237,MW20112,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe
238,MW10409,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve
239,MW20703,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu
240,MW30720,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma
241,MW30303,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira
242,MW30201,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde
243,MW10309,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya
244,MW30103,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba
